Date,Open,High,Low,Close,Adj Close,Volume,,
21 March 2001,41.25,41.5,40.35,40.74,40.74,100000,,
22 March 2001,40.6,40.6,38.66,38.94,38.94,100000,,
23 March 2001,39.59,40.17,39.5,40.02,40.02,100000,,
26 March 2001,40.2,41.46,40.2,41.29,41.29,100000,,
27 March 2001,41.29,42.32,41.2,41.94,41.94,100000,,
28 March 2001,42.5,42.5,41.5,41.69,41.69,100000,,
29 March 2001,40.9,41.68,40.76,41.62,41.62,100000,,
30 March 2001,41.74,42.34,41.55,41.55,41.55,100000,,
02 April 2001,41.4,41.84,41.31,41.75,41.75,100000,,
03 April 2001,41.7,41.7,40.1,40.1,40.1,100000,,
04 April 2001,40.15,40.76,39.2,40.76,40.76,100000,,
05 April 2001,40.91,41.81,40.91,41.48,41.48,100000,,
06 April 2001,42.5,42.5,41.14,41.55,41.55,100000,,
09 April 2001,41,42.3,41,42.29,42.29,100000,,
10 April 2001,42.44,43.12,42.44,43.05,43.05,100000,,
11 April 2001,43.24,43.77,42.94,43.39,43.39,100000,,
12 April 2001,43.5,43.69,43.08,43.38,43.38,100000,,
17 April 2001,42.65,43.23,42.27,43,43,100000,,
18 April 2001,43.67,44.74,43.67,44.55,44.55,100000,,
19 April 2001,44.8,44.8,44,44.26,44.26,100000,,
20 April 2001,44.6,44.6,43.8,43.86,43.86,100000,,
23 April 2001,43.49,43.62,43.29,43.45,43.45,100000,,
24 April 2001,43.39,44.02,43.15,43.83,43.83,100000,,
25 April 2001,43.9,43.9,43.42,43.7,43.7,100000,,
26 April 2001,43.9,44.27,43.48,44.16,44.16,100000,,
27 April 2001,44.1,45.13,44.07,44.97,44.97,100000,,
30 April 2001,45,45.53,44.98,45.42,45.42,100000,,
02 May 2001,45.8,46,45.1,45.2,45.2,100000,,
03 May 2001,45.5,45.5,44.13,44.24,44.24,100000,,
04 May 2001,44.38,44.53,43.68,44.31,44.31,100000,,
07 May 2001,44.64,45,44.47,44.63,44.63,100000,,
08 May 2001,44.51,44.96,44.31,44.68,44.68,100000,,
09 May 2001,44.44,44.44,44.08,44.4,44.4,100000,,
10 May 2001,44.5,45.55,44.5,45.49,45.49,100000,,
11 May 2001,45.2,45.52,44.95,45.04,45.04,100000,,
14 May 2001,45,45,44.32,44.53,44.53,100000,,
15 May 2001,44.75,44.83,44.35,44.83,44.83,100000,,
16 May 2001,44.55,44.65,43.99,44.65,44.65,100000,,
17 May 2001,45.41,45.56,45.25,45.3,45.3,100000,,
18 May 2001,45.2,45.88,45.2,45.78,45.78,100000,,
21 May 2001,45.95,45.96,45.45,45.9,45.9,100000,,
22 May 2001,46.21,46.6,46.13,46.2,46.2,100000,,
23 May 2001,46.11,46.22,45.75,45.75,45.75,100000,,
24 May 2001,45.8,46.09,45.68,45.91,45.91,100000,,
25 May 2001,45.9,45.9,45.31,45.39,45.39,100000,,
28 May 2001,45.5,45.74,45.45,45.5,45.5,100000,,
29 May 2001,45.7,45.81,45.2,45.23,45.23,100000,,
30 May 2001,45.15,45.15,44.53,44.53,44.53,100000,,
31 May 2001,44.3,44.78,44,44.6,44.6,100000,,
01 June 2001,44.65,44.95,44.32,44.62,44.62,100000,,
05 June 2001,45,45.27,44.88,45.27,45.27,100000,,
06 June 2001,45.55,45.55,45.17,45.19,45.19,100000,,
07 June 2001,45.22,45.22,44.9,45,45,100000,,
08 June 2001,45,45.51,45,45.34,45.34,100000,,
11 June 2001,45,45.26,44.7,44.7,44.7,100000,,
12 June 2001,44.73,44.9,43.24,43.37,43.37,100000,,
13 June 2001,43.73,44.07,43.7,44.05,44.05,100000,,
14 June 2001,43.59,43.78,43.2,43.22,43.22,100000,,
