Date,Open,High,Low,Close,Adj Close,Volume
22 December 1998,32.40625,32.5,31.78125,32.046875,24.685825,300500
23 December 1998,32.75,32.8125,32.15625,32.8125,25.275583,338300
24 December 1998,32.8125,32.8125,32.5625,32.6875,25.179296,243700
28 December 1998,33.1875,33.1875,32.59375,32.78125,25.251514,309300
29 December 1998,32.9375,33.015625,32.5,32.875,25.323732,123800
30 December 1998,32.6875,33.140625,32.578125,32.75,25.227444,95600
31 December 1998,32.75,32.90625,32.34375,32.625,25.131149,77200
04 January 1999,32.65625,33.5625,32.59375,33,25.420013,650600
05 January 1999,33.0625,34.03125,33.0625,33.84375,26.069962,295200
06 January 1999,34.6875,34.9375,34.40625,34.84375,26.840261,624700
07 January 1999,34.5,35.03125,34.28125,34.734375,26.756016,534600
08 January 1999,35.5,35.5625,34.484375,34.875,26.864338,532800
11 January 1999,35.875,35.875,34.84375,35.21875,27.129129,497900
12 January 1999,35.5,35.5625,34.265625,34.265625,26.394928,486000
13 January 1999,32,35.15625,32,34.25,26.382895,548300
14 January 1999,34.34375,34.625,33.5625,33.78125,26.021826,366300
15 January 1999,34,34.796875,33.84375,34.78125,26.792122,653900
19 January 1999,35.625,36,35.015625,35.984375,27.718882,437300
20 January 1999,36.875,37.484375,36.25,36.3125,27.971651,1132200
21 January 1999,36.25,36.3125,35.125,35.375,27.249485,1492900
22 January 1999,34.75,35.40625,34.390625,34.75,26.768053,1291000
25 January 1999,35.1875,35.375,34.59375,35.359375,27.237453,946600
26 January 1999,35.75,36.8125,35.75,36.78125,28.332722,713900
27 January 1999,37.25,37.484375,36,36,27.730932,1366900
28 January 1999,36.75,37.28125,36.609375,37.265625,28.705835,903600
29 January 1999,37.375,37.84375,36.9375,37.8125,29.12711,933600
01 February 1999,38.15625,38.375,37.5625,37.84375,29.151175,913000
02 February 1999,38,38,36.625,37.203125,28.657707,1259200
03 February 1999,37.0625,38.0625,36.8125,37.46875,28.862318,1334100
04 February 1999,37.75,37.75,35.875,36.1875,27.87536,1945900
05 February 1999,36,36.21875,34.75,35.3125,27.201342,1832400
08 February 1999,35.75,36.5,35.125,35.90625,27.658703,1314600
09 February 1999,36,36.03125,34.3125,34.5,26.575472,2085500
10 February 1999,34.65625,35.40625,34.25,34.75,26.768053,1401800
11 February 1999,35.375,36.28125,35.03125,36.21875,27.899429,2666700
12 February 1999,35.375,35.78125,34.59375,34.78125,26.792122,2917400
