Date,Open,High,Low,Close,Adj Close,Volume
22 December 1998,24.8125,25.0625,24.8125,25.03125,18.063316,5700
23 December 1998,25.1875,25.59375,25.1875,25.59375,18.469229,18100
24 December 1998,25.625,25.75,25.515625,25.75,18.581984,4900
28 December 1998,25.671875,25.75,25.375,25.375,18.311367,15500
29 December 1998,25.375,25.9375,25.375,25.9375,18.717291,5300
30 December 1998,26,26.03125,25.71875,25.71875,18.559431,17300
31 December 1998,25.8125,26,25.75,26,18.762386,6600
4 January 1999,26.25,26.375,25.78125,25.9375,18.717291,249200
5 January 1999,26,26.34375,26,26.34375,19.010445,4400
6 January 1999,26.53125,26.78125,26.46875,26.78125,19.326164,38500
7 January 1999,26.53125,26.6875,26.34375,26.65625,19.235964,15900
8 January 1999,26.71875,26.984375,26.71875,26.984375,19.47275,24400
11 January 1999,26.96875,27.25,26.8125,27.046875,19.517845,7700
12 January 1999,27.125,27.25,26.90625,26.9375,19.438919,270700
13 January 1999,25.78125,26.875,25.78125,26.6875,19.258512,7100
14 January 1999,26.78125,26.859375,26.375,26.46875,19.100658,12200
15 January 1999,26.5625,26.90625,26.5625,26.828125,19.359995,7700
19 January 1999,27.28125,27.65625,27.125,27.59375,19.912485,22700
20 January 1999,27.75,28.125,27.59375,27.75,20.025242,25800
21 January 1999,27.6875,27.6875,26.71875,26.78125,19.326164,23200
22 January 1999,26.59375,26.875,26.40625,26.671875,19.247242,67100
25 January 1999,26.6875,26.90625,26.6875,26.890625,19.405096,495300
26 January 1999,26.9375,27.03125,26.671875,27.015625,19.495302,187400
27 January 1999,27.09375,27.09375,26.75,26.75,19.303616,6800
28 January 1999,27,27.34375,27,27.25,19.664434,25800
29 January 1999,27.28125,27.28125,26.90625,27.25,19.664434,13800
1 February 1999,27.375,27.46875,27.15625,27.40625,19.777184,34000
2 February 1999,26.96875,27.046875,26.625,27,19.48402,141700
3 February 1999,26.9375,27.515625,26.9375,27.515625,19.85611,38900
4 February 1999,27.34375,27.4375,27.125,27.3125,19.70953,7400
5 February 1999,27.3125,27.3125,26.8125,27,19.48402,16900
8 February 1999,27.125,27.125,26.875,26.984375,19.47275,6500
9 February 1999,27.0625,27.09375,26.5,26.5,19.123207,220800
10 February 1999,26.3125,26.5625,26.1875,26.5625,19.168306,17800
11 February 1999,26.46875,27.28125,26.375,27.28125,19.686983,5300
12 February 1999,27.125,27.125,26.71875,26.875,19.393818,8400
16 February 1999,27,27.3125,27,27.125,19.574234,18500
17 February 1999,27.0625,27.25,26.8125,26.84375,19.371271,12900
18 February 1999,26.9375,27.203125,26.765625,27.1875,19.619328,11500
19 February 1999,27.1875,27.375,27.1875,27.265625,19.675707,13900
22 February 1999,27.375,27.859375,27.3125,27.84375,20.092905,17800
23 February 1999,27.90625,27.90625,27.5,27.796875,20.059076,15000
24 February 1999,27.875,27.984375,27.46875,27.46875,19.822289,28000
25 February 1999,27.34375,27.34375,26.875,27.203125,19.6306,98900
26 February 1999,27.3125,27.359375,26.890625,27.28125,19.686983,10800
1 March 1999,27.21875,27.25,26.90625,27.234375,19.653152,8800
2 March 1999,27.40625,27.640625,27.046875,27.21875,19.641884,11500
3 March 1999,27.3125,27.3125,27,27.046875,19.517845,13100
4 March 1999,27.4375,27.53125,27.234375,27.53125,19.867388,10400
5 March 1999,27.9375,28.21875,27.84375,28.15625,20.318413,25400
8 March 1999,28.09375,28.1875,27.9375,28.1875,20.340954,62700
9 March 1999,27.84375,28.25,27.8125,27.96875,20.183102,12200
10 March 1999,27.9375,28.21875,27.78125,28.21875,20.363516,10700
11 March 1999,28.21875,28.5625,28.21875,28.40625,20.498812,23600
12 March 1999,28.53125,28.65625,28.25,28.25,20.386061,24600
15 March 1999,28.4375,28.546875,28.21875,28.34375,20.453716,144800
16 March 1999,28.4375,28.4375,28.234375,28.28125,20.408606,9100
17 March 1999,28.1875,28.359375,28.015625,28.125,20.295856,2700
18 March 1999,27.96875,28.515625,27.96875,28.515625,20.577734,9500
19 March 1999,28.53125,28.65625,28.28125,28.390625,20.487535,6900
22 March 1999,28.3125,28.59375,28.28125,28.3125,20.431166,40900
23 March 1999,28.25,28.25,27.4375,27.53125,19.867388,15400
24 March 1999,27.46875,27.65625,27.34375,27.65625,19.95759,12800
25 March 1999,27.90625,28.125,27.75,28.125,20.295856,9700
26 March 1999,27.921875,28.03125,27.84375,27.90625,20.138002,6600
29 March 1999,27.9375,28.328125,27.9375,28.25,20.386061,8100
30 March 1999,28.21875,28.359375,28.09375,28.15625,20.318413,37300
31 March 1999,28.25,28.25,28,28,20.205654,6300
1 April 1999,28,28.078125,27.65625,28,20.205654,22500
5 April 1999,28.4375,28.75,28.4375,28.625,20.656666,12400
6 April 1999,28.75,28.875,28.5625,28.65625,20.679222,14500
7 April 1999,28.84375,29.34375,28.84375,29.203125,21.073862,15700
8 April 1999,29.125,29.5,29.09375,29.5,21.288103,29600
9 April 1999,29.5,29.59375,29.28125,29.59375,21.355749,6600
12 April 1999,29.28125,30.34375,29.28125,30.34375,21.896969,87300
13 April 1999,30.4375,30.46875,30.03125,30.03125,21.671465,23600
14 April 1999,30.25,30.3125,29.75,29.75,21.468504,96900
15 April 1999,29.8125,29.8125,28.78125,29,20.927282,17800
16 April 1999,29,29,28.53125,28.71875,20.724323,10400
19 April 1999,28.9375,29.09375,27.875,27.9375,20.160547,32700
20 April 1999,28.125,28.46875,27.90625,28.46875,20.543919,15700
21 April 1999,28.40625,29.125,28.40625,29.125,21.017485,16000
22 April 1999,29.25,29.84375,29.25,29.71875,21.445955,20200
23 April 1999,29.90625,30.390625,29.90625,30.390625,21.930803,9800
26 April 1999,30.53125,30.53125,30.1875,30.34375,21.896969,36200
27 April 1999,30.578125,30.59375,30.09375,30.375,21.919523,13900
28 April 1999,30.25,30.25,29.5625,29.5625,21.333206,25500
29 April 1999,29.625,29.8125,29.03125,29.21875,21.085138,9800
30 April 1999,29.4375,29.59375,29,29,20.927282,5800
3 May 1999,29.34375,29.59375,29.25,29.5625,21.333206,13000
4 May 1999,29.6875,29.6875,29,29,20.927282,23000
5 May 1999,29.09375,29.3125,28.8125,29.25,21.107689,17100
6 May 1999,29.375,29.59375,29.3125,29.375,21.197893,17500
7 May 1999,29.625,29.625,29.1875,29.28125,21.130245,8000
10 May 1999,29.3125,29.5625,29.15625,29.21875,21.085138,27300
11 May 1999,29.5625,29.75,29.5,29.6875,21.42341,51000
12 May 1999,29.46875,30.0625,29.40625,29.96875,21.626369,8100
13 May 1999,30.09375,30.09375,29.75,29.78125,21.491055,9600
14 May 1999,29.125,29.3125,29.125,29.25,21.107689,4600
17 May 1999,28.90625,29.0625,28.6875,29.0625,20.97238,5800
18 May 1999,28.9375,29.21875,28.75,28.75,20.74687,8500
